"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -21.68089307,      -21.68089307,               -32,      -3.206155132
          0,           0,           1,      -6.978558314,      -4.843633132,       -9.28619695,      -3.234732045
          0,           0,           2,      -7.184774452,       -4.92298968,      -7.166460307,      -3.284471797
          0,           0,           3,      -7.572428108,      -5.050528599,      -7.350540851,      -3.367597683
          0,           0,           4,      -7.488500975,      -5.229165351,      -7.277653078,      -3.504697522
          0,           0,           5,       -7.37328599,      -5.442268319,      -7.160104778,      -3.725237038
          0,           0,           6,      -7.373175357,      -5.666692161,      -7.124641043,      -4.019910649
          0,           0,           7,      -7.420747246,      -5.890874768,      -7.209271175,       -4.16689734
          0,           0,           8,      -7.323062463,      -6.111825508,      -7.096363233,      -4.227480578
          0,           0,           9,      -7.174066613,      -6.327648628,      -6.905845954,      -4.379083242
          0,           0,          10,      -6.980744129,      -6.525495564,      -6.692498154,       -4.58195069
          0,           0,          11,      -6.818062462,      -6.654551388,      -6.519537947,      -4.752844361
          0,           0,          12,      -6.729060194,      -6.685105033,      -6.419924209,      -4.845920792
          0,           0,          13,      -6.737372137,      -6.717438338,      -6.416478245,       -4.91916261
          0,           0,          14,      -6.813888666,      -6.795221094,      -6.477547151,      -5.015413948
          0,           0,          15,      -6.867932689,      -6.838774798,      -6.518657422,      -5.074492434
          0,           0,          16,      -6.870783676,       -6.83337915,      -6.518758467,      -5.077289252
          0,           0,          17,      -6.869229612,       -6.83191826,      -6.517673795,      -5.075023383
          0,           0,          18,      -6.887823221,      -6.851978657,      -6.536085319,      -5.093152123
          0,           0,          19,      -6.927137345,      -6.890579172,      -6.574290046,       -5.13221133
          0,           0,          20,      -6.980376179,       -6.94036923,      -6.625398638,      -5.185321726
          0,           0,          21,      -7.039831452,      -6.996765581,      -6.681569375,      -5.244722111
          0,           0,          22,      -7.100592622,      -7.057206538,      -6.738540747,      -5.305467953
          0,           0,          23,       -7.16307792,       -7.12138154,      -6.797394427,      -5.367963009
          0,           0,          24,      -7.230000398,      -7.190868349,      -6.861006818,      -5.434914233
          0,           0,          25,      -7.303567362,      -7.266522702,      -6.931523312,       -5.50853322
          0,           0,          26,      -7.386242729,      -7.349631407,      -7.010853334,      -5.591293723
          0,           0,          27,      -7.479913228,      -7.440640126,       -7.10009463,      -5.685105374
          0,           0,          28,      -7.583709036,      -7.536667271,      -7.198242041,      -5.789116886
          0,           0,          29,      -7.694653193,      -7.633509885,      -7.302975749,      -5.900372888
          0,           0,          30,      -7.808449726,      -7.726881582,        -7.4110867,      -6.014588504
          0,           0,          31,      -7.919087821,      -7.813063571,      -7.518025245,      -6.125729809
          0,           0,          32,      -8.017103328,      -7.889968715,      -7.616399476,      -6.224205938
          0,           0,          33,      -8.094671335,      -7.957253245,      -7.698713102,       -6.30200341
          0,           0,          34,       -8.15102093,      -8.016334761,      -7.761542779,      -6.358280442
          0,           0,          35,      -8.190078113,      -8.068323474,      -7.806522143,      -6.397034454
          0,           0,          36,      -8.217112626,      -8.113656887,      -7.838502936,      -6.423654825
          0,           0,          37,      -8.240405648,      -8.154698533,      -7.865449371,      -6.446555294
          0,           0,          38,       -8.26631592,      -8.194441525,      -7.893619016,      -6.472155826
          0,           0,          39,      -8.295970867,      -8.234483839,      -7.924561715,      -6.501571563
          0,           0,          40,      -8.329291456,      -8.275507187,      -7.958453855,      -6.534706369
          0,           0,          41,      -8.368144251,      -8.319687871,      -7.996926929,      -6.573421317
          0,           0,          42,      -8.414245657,      -8.369523476,      -8.041597463,      -6.619432728
          0,           0,          43,      -8.466409048,      -8.424678562,       -8.09170132,      -6.671536302
          0,           0,          44,      -8.524816463,       -8.48524662,      -8.147542394,      -6.729911096
          0,           0,          45,      -8.591477242,      -8.553150249,      -8.210854315,      -6.796570324
          0,           0,          46,      -8.666656133,      -8.627913418,      -8.281889748,      -6.871786951
          0,           0,          47,      -8.747753841,       -8.70662241,      -8.358487332,      -6.952945636
          0,           0,          48,      -8.834056846,      -8.788718673,      -8.439941784,      -7.039341365
          0,           0,          49,      -8.924170043,       -8.87200947,      -8.524862941,      -7.129576661
          0,           0,          50,      -9.013272155,      -8.951727847,      -8.609442471,      -7.218817451
          0,           0,          51,      -9.096140811,      -9.025505426,      -8.689910987,      -7.301793235
          0,           0,          52,      -9.171169564,      -9.093317677,      -8.764691996,      -7.376892484
          0,           0,          53,      -9.237329625,      -9.155405151,      -8.831949381,      -7.443060785
          0,           0,          54,      -9.293758371,      -9.213504227,      -8.890499458,      -7.499442464
          0,           0,          55,      -9.339987419,      -9.266642657,      -8.939829236,      -7.545553439
          0,           0,          56,      -9.378408112,      -9.314056738,      -8.981551232,      -7.583822494
          0,           0,          57,      -9.412854601,      -9.357712733,       -9.01907804,      -7.618109792
          0,           0,          58,      -9.445928414,      -9.398851647,      -9.055051996,      -7.651037579
          0,           0,          59,      -9.480243536,      -9.439168231,      -9.091777094,      -7.685227856
          0,           0,          60,      -9.518919137,      -9.482006515,      -9.131809613,      -7.723802579
          0,           0,          61,       -9.56405425,      -9.529853101,       -9.17684101,      -7.768867844
          0,           0,          62,      -9.616070597,      -9.583718948,      -9.227107645,      -7.820834551
          0,           0,          63,      -9.674687344,      -9.643422911,      -9.282460937,      -7.879430544
          0,           0,          64,       -9.73804589,      -9.707266484,      -9.341520153,      -7.942770272
          0,           0,          65,      -9.805186099,      -9.774171373,      -9.403834849,      -8.009912531
          0,           0,          66,      -9.874808891,      -9.842703075,      -9.468717066,      -8.079532863
          0,           0,          67,       -9.94528459,      -9.910883549,      -9.534995561,      -8.150028163
          0,           0,          68,      -10.01353816,       -9.97763869,      -9.600386915,      -8.218279969
          0,           0,          69,      -10.07861612,      -10.04158525,      -9.664083457,      -8.283368206
          0,           0,          70,      -10.13932118,      -10.10152873,      -9.724498527,      -8.344054328
          0,           0,          71,      -10.19593257,       -10.1586665,      -9.781293154,      -8.400654757
          0,           0,          72,      -10.24721342,       -10.2125026,      -9.833845063,      -8.451897711
          0,           0,          73,      -10.29387454,      -10.26142075,      -9.882496126,      -8.498517332
          0,           0,          74,      -10.33870756,      -10.30861402,      -9.929154892,      -8.543302969
          0,           0,          75,      -10.38456131,      -10.35630956,      -9.976158397,      -8.589112151
          0,           0,          76,      -10.43117426,      -10.40389614,       -10.0235078,      -8.635695963
          0,           0,          77,      -10.47864019,       -10.4526802,      -10.07099603,       -8.68311642
          0,           0,          78,      -10.52863605,      -10.50474555,      -10.11998588,      -8.733092429
          0,           0,          79,       -10.5804754,       -10.5581043,      -10.17009527,      -8.784896103
          0,           0,          80,      -10.63279031,       -10.6111276,       -10.2205533,      -8.837204322
          0,           0,          81,      -10.68512571,      -10.66419153,      -10.27128566,      -8.889510117
          0,           0,          82,      -10.73837786,      -10.71747619,      -10.32304699,      -8.942756958
          0,           0,          83,      -10.79222123,      -10.77116119,      -10.37555054,      -8.996581602
          0,           0,          84,      -10.84594109,      -10.82527794,      -10.42806925,      -9.050293845
          0,           0,          85,      -10.89870035,      -10.87936161,      -10.47995384,      -9.103044944
          0,           0,          86,      -10.94972231,      -10.93200635,      -10.53055028,       -9.15404725
          0,           0,          87,      -10.99943602,      -10.98304727,      -10.58019191,      -9.203760389
          0,           0,          88,      -11.04798374,      -11.03282914,      -10.62890416,       -9.25227878
          0,           0,          89,      -11.09668137,      -11.08198838,      -10.67785888,      -9.300981834
          0,           0,          90,      -11.14511979,      -11.13035437,      -10.72670588,      -9.349387909
          0,           0,          91,      -11.19462029,       -11.1796788,      -10.77608578,      -9.398890125
          0,           0,          92,      -11.24513601,      -11.23088177,      -10.82589131,      -9.449377512
          0,           0,          93,      -11.29631674,      -11.28223818,       -10.8758896,      -9.500559555
          0,           0,          94,      -11.34637109,      -11.33259893,      -10.92491831,      -9.550599575
          0,           0,          95,      -11.39574611,      -11.38270336,       -10.9733616,      -9.599962368
          0,           0,          96,      -11.44486478,      -11.43232182,      -11.02181787,      -9.649079462
          0,           0,          97,      -11.49336773,      -11.48087993,      -11.06994722,      -9.697562486
          0,           0,          98,      -11.54161937,      -11.52951901,      -11.11805116,      -9.745825735
          0,           0,          99,      -11.58956749,      -11.57825333,      -11.16600746,      -9.793750899
          0,           0,         100,      -11.63763279,      -11.62660544,      -11.21400734,      -9.841831665
          0,           0,         101,      -11.68509809,      -11.67497816,      -11.26144636,      -9.889276783
          0,           0,         102,      -11.73205798,      -11.72324748,      -11.30839715,      -9.936244851
          0,           0,         103,      -11.77802698,      -11.77048737,      -11.35472286,      -9.982202776
          0,           0,         104,      -11.82345244,       -11.8165615,       -11.4007136,      -10.02762315
          0,           0,         105,      -11.86947209,      -11.86309446,      -11.44721353,      -10.07364453
          0,           0,         106,      -11.91655932,      -11.91065508,      -11.49445648,      -10.12071437
          0,           0,         107,      -11.96495396,      -11.95903988,      -11.54271921,      -10.16912297
          0,           0,         108,         -12.01357,       -12.0080245,       -11.5910288,       -10.2177138
          0,           0,         109,      -12.06288586,      -12.05816524,       -11.6396996,        -10.267045
          0,           0,         110,      -12.11163664,      -12.10823601,      -11.68797143,      -10.31577179
          0,           0,         111,      -12.15956162,      -12.15668575,       -11.7357123,      -10.36371065
          0,           0,         112,      -12.20609073,      -12.20402656,      -11.78263135,      -10.41022768
          0,           0,         113,      -12.25241502,      -12.25090438,      -11.82955638,      -10.45655378
          0,           0,         114,      -12.29885596,      -12.29758188,      -11.87680387,      -10.50299681
          0,           0,         115,      -12.34535031,      -12.34472602,      -11.92400478,      -10.54948019
          0,           0,         116,      -12.39206444,      -12.39317368,      -11.97133023,      -10.59620885
          0,           0,         117,      -12.43813101,       -12.4412278,      -12.01817647,      -10.64225606
          0,           0,         118,      -12.48363356,      -12.48805195,      -12.06462779,      -10.68777853
          0,           0,         119,       -12.5282383,      -12.53430701,       -12.1104445,      -10.73236379
          0,           0,         120,      -12.57291701,      -12.58025438,      -12.15647179,      -10.77705645
          0,           0,         121,      -12.61725049,      -12.62560871,      -12.20247697,      -10.82137824
          0,           0,         122,      -12.66198296,      -12.67148802,      -12.24880965,       -10.8661126
          0,           0,         123,      -12.70757991,      -12.71910122,      -12.29585234,      -10.91170994
          0,           0,         124,      -12.75361295,      -12.76724221,      -12.34324824,      -10.95773316
          0,           0,         125,       -12.7996985,      -12.81531148,      -12.39082346,      -11.00383227
          0,           0,         126,      -12.84512915,      -12.86320242,      -12.43792433,      -11.04924401
          0,           0,         127,      -12.89030701,      -12.91091982,      -12.48507128,      -11.09443917
          0,           0,         128,      -12.93458626,      -12.95753131,       -12.5317844,      -11.13869933
          0,           0,         129,      -12.97848735,      -13.00357192,       -12.5783825,      -11.18261667
          0,           0,         130,      -13.02185699,      -13.04984993,      -12.62478856,      -11.22597482
          0,           0,         131,        -13.065549,      -13.09627721,      -12.67164209,      -11.26967351
          0,           0,         132,      -13.10908658,      -13.14277721,      -12.71857759,      -11.31321111
          0,           0,         133,      -13.15236669,      -13.18979683,       -12.7653361,      -11.35648545
