"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
1364, -6.938893903907228e-18, 0.000000000000000e+00, 9.717439883232114e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.977128599473260e-01, 1.943487976646423e-02, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.432812060052534e-02, 0.000000000000000e+00, 6.960325544840714e+04, 5.804771590448122e+00
1429, 9.999999999999790e-04, 0.000000000000000e+00, -1.077207596456402e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.012293990648796e-01, -2.154415192912804e-02, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 8.503648637292506e-03, 0.000000000000000e+00, 7.903339458124792e+04, 4.471911240549915e+00
1494, 2.008362028316354e-03, 0.000000000000000e+00, -3.926709856082404e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000999790340811e-01, -7.853419712164808e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 6.109371683907195e-03, 0.000000000000000e+00, 5.212734696798561e+04, 3.790432745075174e+00
1559, 3.033518036782932e-03, 0.000000000000000e+00, -2.434148738641666e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.999806045406641e-01, -4.868297477283332e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 5.144911905874371e-03, 0.000000000000000e+00, 4.203093755964289e+04, 3.478399763125432e+00
1624, 4.084040408971263e-03, 0.000000000000000e+00, -1.521626746634897e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000047767493655e-01, -3.043253493269794e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 4.561545155942988e-03, 0.000000000000000e+00, 3.634341829990247e+04, 3.275265499904283e+00
1689, 5.168713642704479e-03, 0.000000000000000e+00, -1.669621674023118e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.999986808569572e-01, -3.339243348046236e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 4.143718932780944e-03, 0.000000000000000e+00, 3.238960843069899e+04, 3.121660479422752e+00
1754, 6.296607806277090e-03, 0.000000000000000e+00, -1.473602014433676e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000005167594826e-01, -2.947204028867352e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 3.806782922047424e-03, 0.000000000000000e+00, 2.940015624786619e+04, 2.992055034820147e+00
1819, 7.477154382622683e-03, 0.000000000000000e+00, -1.448795550508273e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.999998610084768e-01, -2.897591101016546e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 3.528621687044022e-03, 0.000000000000000e+00, 2.701139457088764e+04, 2.880667088565439e+00
1884, 8.720225135641453e-03, 0.000000000000000e+00, -1.377590912431375e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000746888653e-01, -2.755181824862749e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 3.291593710451743e-03, 0.000000000000000e+00, 2.503212589545816e+04, 2.782233870020475e+00
1949, 1.003621465816935e-02, 0.000000000000000e+00, -1.338920764036361e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.999999879203095e-01, -2.677841528072721e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 3.086012077027230e-03, 0.000000000000000e+00, 2.334513084411733e+04, 2.693948766369255e+00
