"Density","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,62.5,4212,2.3424e-07,7.7306e-06,1.5461e-05,0.00057823,0,0,0.5,2.0333e-05,0,0,0,1.1661,1,0,0.3048,0,0
1,62.5,0,2.3424e-07,8.2775e-06,1.6555e-05,0,0,0,0.52764,2.0333e-05,0.061717,2.9645e-06,0,0,1,5e-05,0.3048,5e-05,0
1,62.5,0,2.3424e-07,8.3008e-06,1.6602e-05,0,0,0,0.55527,2.0333e-05,0.12343,1.1782e-05,0,0,1,0.0001,0.3048,0.0001,0
1,62.5,0,2.3424e-07,8.3233e-06,1.6647e-05,0,0,0,0.58285,2.0333e-05,0.18505,2.6481e-05,0,0,1,0.00015,0.3048,0.00015,0
1,62.5,0,2.3424e-07,8.3454e-06,1.6691e-05,0,0,0,0.61034,2.0333e-05,0.24642,4.67e-05,0,0,1,0.0002,0.3048,0.0002,0
1,62.5,0,2.3424e-07,8.3687e-06,1.6737e-05,0,0,0,0.63766,2.0333e-05,0.3073,7.2326e-05,0,0,1,0.00025,0.3048,0.00025,0
1,62.5,0,2.3424e-07,8.3955e-06,1.6791e-05,0,0,0,0.66472,2.0333e-05,0.36743,0.00010293,0,0,1,0.0003,0.3048,0.0003,0
1,62.5,0,2.3424e-07,8.4284e-06,1.6857e-05,0,0,0,0.69141,2.0333e-05,0.42646,0.00013809,0,0,1,0.00035,0.3048,0.00035,0
1,62.5,0,2.3424e-07,8.4701e-06,1.694e-05,0,0,0,0.71761,2.0333e-05,0.48402,0.00017722,0,0,1,0.0004,0.3048,0.0004,0
1,62.5,0,2.3424e-07,8.5232e-06,1.7046e-05,0,0,0,0.74314,2.0333e-05,0.53957,0.00021989,0,0,1,0.00045,0.3048,0.00045,0
1,62.5,0,2.3424e-07,8.5868e-06,1.7174e-05,0,0,0,0.76791,2.0333e-05,0.59282,0.00026506,0,0,1,0.0005,0.3048,0.0005,0
1,62.5,0,2.3424e-07,8.6584e-06,1.7317e-05,0,0,0,0.79175,2.0333e-05,0.64337,0.00031193,0,0,1,0.00055,0.3048,0.00055,0
1,62.5,0,2.3424e-07,8.7317e-06,1.7463e-05,0,0,0,0.81453,2.0333e-05,0.69085,0.00035965,0,0,1,0.0006,0.3048,0.0006,0
1,62.5,0,2.3424e-07,8.7986e-06,1.7597e-05,0,0,0,0.83618,2.0333e-05,0.73509,0.00040741,0,0,1,0.00065,0.3048,0.00065,0
1,62.5,0,2.3424e-07,8.8478e-06,1.7696e-05,0,0,0,0.8565,2.0333e-05,0.77564,0.00045436,0,0,1,0.0007,0.3048,0.0007,0
1,62.5,0,2.3424e-07,8.8557e-06,1.7711e-05,0,0,0,0.8751,2.0333e-05,0.81152,0.00049911,0,0,1,0.00075,0.3048,0.00075,0
1,62.5,0,2.3424e-07,8.8211e-06,1.7642e-05,0,0,0,0.89237,2.0333e-05,0.84392,0.00054152,0,0,1,0.0008,0.3048,0.0008,0
1,62.5,0,2.3424e-07,8.7507e-06,1.7501e-05,0,0,0,0.90855,2.0333e-05,0.87351,0.00058194,0,0,1,0.00085,0.3048,0.00085,0
1,62.5,0,2.3424e-07,8.5892e-06,1.7178e-05,0,0,0,0.92225,2.0333e-05,0.89702,0.00061676,0,0,1,0.0009,0.3048,0.0009,0
1,62.5,0,2.3424e-07,8.3987e-06,1.6797e-05,0,0,0,0.93502,2.0333e-05,0.91842,0.00064921,0,0,1,0.00095,0.3048,0.00095,0
1,62.5,0,2.3424e-07,8.1544e-06,1.6309e-05,0,0,0,0.94607,2.0333e-05,0.93589,0.00067723,0,0,1,0.001,0.3048,0.001,0
1,62.5,0,2.3424e-07,7.8909e-06,1.5782e-05,0,0,0,0.95567,2.0333e-05,0.95037,0.00070131,0,0,1,0.00105,0.3048,0.00105,0
1,62.5,0,2.3424e-07,7.6111e-06,1.5222e-05,0,0,0,0.96404,2.0333e-05,0.9623,0.00072204,0,0,1,0.0011,0.3048,0.0011,0
1,62.5,0,2.3424e-07,7.3543e-06,1.4709e-05,0,0,0,0.97101,2.0333e-05,0.97165,0.00073889,0,0,1,0.00115,0.3048,0.00115,0
1,62.5,0,2.3424e-07,7.1156e-06,1.4231e-05,0,0,0,0.97689,2.0333e-05,0.97899,0.0007527,0,0,1,0.0012,0.3048,0.0012,0
1,62.5,0,2.3424e-07,6.9201e-06,1.384e-05,0,0,0,0.98193,2.0333e-05,0.985,0.00076426,0,0,1,0.00125,0.3048,0.00125,0
1,62.5,0,2.3424e-07,6.7906e-06,1.3581e-05,0,0,0,0.98569,2.0333e-05,0.98897,0.00077236,0,0,1,0.0013,0.3048,0.0013,0
1,62.5,0,2.3424e-07,6.6644e-06,1.3329e-05,0,0,0,0.98941,2.0333e-05,0.99289,0.00078036,0,0,1,0.00135,0.3048,0.00135,0
1,62.5,0,2.3424e-07,6.6603e-06,1.3321e-05,0,0,0,0.99155,2.0333e-05,0.99472,0.00078443,0,0,1,0.0014,0.3048,0.0014,0
1,62.5,0,2.3424e-07,6.6562e-06,1.3312e-05,0,0,0,0.99369,2.0333e-05,0.99655,0.0007885,0,0,1,0.00145,0.3048,0.00145,0
1,62.5,0,2.3424e-07,6.6869e-06,1.3374e-05,0,0,0,0.99536,2.0333e-05,0.99788,0.00079154,0,0,1,0.0015,0.3048,0.0015,0
1,62.5,0,2.3424e-07,6.763e-06,1.3526e-05,0,0,0,0.99642,2.0333e-05,0.99857,0.00079323,0,0,1,0.00155,0.3048,0.00155,0
1,62.5,0,2.3424e-07,6.8392e-06,1.3678e-05,0,0,0,0.99748,2.0333e-05,0.99926,0.00079493,0,0,1,0.0016,0.3048,0.0016,0
1,62.5,0,2.3424e-07,6.9219e-06,1.3844e-05,0,0,0,0.99818,2.0333e-05,0.99966,0.00079595,0,0,1,0.00165,0.3048,0.00165,0
1,62.5,0,2.3424e-07,7.009e-06,1.4018e-05,0,0,0,0.99862,2.0333e-05,0.99985,0.00079651,0,0,1,0.0017,0.3048,0.0017,0
1,62.5,0,2.3424e-07,7.0962e-06,1.4192e-05,0,0,0,0.99907,2.0333e-05,1.0001,0.00079708,0,0,1,0.00175,0.3048,0.00175,0
1,62.5,0,2.3424e-07,7.1671e-06,1.4334e-05,0,0,0,0.99937,2.0333e-05,1.0002,0.00079744,0,0,1,0.0018,0.3048,0.0018,0
1,62.5,0,2.3424e-07,7.2206e-06,1.4441e-05,0,0,0,0.99952,2.0333e-05,1.0002,0.00079759,0,0,1,0.00185,0.3048,0.00185,0
1,62.5,0,2.3424e-07,7.2741e-06,1.4548e-05,0,0,0,0.99968,2.0333e-05,1.0002,0.00079774,0,0,1,0.0019,0.3048,0.0019,0
1,62.5,0,2.3424e-07,7.3246e-06,1.4649e-05,0,0,0,0.99982,2.0333e-05,1.0003,0.00079789,0,0,1,0.00195,0.3048,0.00195,0
1,62.5,0,2.3424e-07,7.3394e-06,1.4679e-05,0,0,0,0.99986,2.0333e-05,1.0003,0.00079793,0,0,1,0.002,0.3048,0.002,0
1,62.5,0,2.3424e-07,7.3542e-06,1.4708e-05,0,0,0,0.9999,2.0333e-05,1.0003,0.00079797,0,0,1,0.00205,0.3048,0.00205,0
1,62.5,0,2.3424e-07,7.369e-06,1.4738e-05,0,0,0,0.99994,2.0333e-05,1.0003,0.00079801,0,0,1,0.0021,0.3048,0.0021,0
1,62.5,0,2.3424e-07,7.3757e-06,1.4751e-05,0,0,0,0.99997,2.0333e-05,1.0003,0.00079805,0,0,1,0.00215,0.3048,0.00215,0
1,62.5,0,2.3424e-07,7.3675e-06,1.4735e-05,0,0,0,0.99998,2.0333e-05,1.0003,0.00079808,0,0,1,0.0022,0.3048,0.0022,0
1,62.5,0,2.3424e-07,7.3592e-06,1.4718e-05,0,0,0,0.99998,2.0333e-05,1.0003,0.00079811,0,0,1,0.00225,0.3048,0.00225,0
1,62.5,0,2.3424e-07,7.351e-06,1.4702e-05,0,0,0,0.99999,2.0333e-05,1.0003,0.00079813,0,0,1,0.0023,0.3048,0.0023,0
1,62.5,0,2.3424e-07,7.3404e-06,1.4681e-05,0,0,0,1,2.0333e-05,1.0003,0.00079816,0,0,1,0.00235,0.3048,0.00235,0
1,62.5,0,2.3424e-07,7.3237e-06,1.4647e-05,0,0,0,1,2.0333e-05,1.0003,0.00079819,0,0,1,0.0024,0.3048,0.0024,0
1,62.5,0,2.3424e-07,7.307e-06,1.4614e-05,0,0,0,1,2.0333e-05,1.0003,0.00079821,0,0,1,0.00245,0.3048,0.00245,0
1,62.5,0,2.3424e-07,7.2903e-06,1.4581e-05,0,0,0,1,2.0333e-05,1.0003,0.00079824,0,0,1,0.0025,0.3048,0.0025,0
1,62.5,0,2.3424e-07,7.2735e-06,1.4547e-05,0,0,0,1,2.0333e-05,1.0003,0.00079826,0,0,1,0.00255,0.3048,0.00255,0
1,62.5,0,2.3424e-07,7.2554e-06,1.4511e-05,0,0,0,1,2.0333e-05,1.0003,0.00079829,0,0,1,0.0026,0.3048,0.0026,0
1,62.5,0,2.3424e-07,7.2369e-06,1.4474e-05,0,0,0,1,2.0333e-05,1.0003,0.00079832,0,0,1,0.00265,0.3048,0.00265,0
